teamName,seasonYear,totalWins,totalLosses,avgWins,avgLosses,totalMinutesPlayed,avgMinutesPlayed,totalFieldGoalsAttempted,avgFieldGoalsAttempted,totalFieldGoalsMade,avgFieldGoalsMade,sdFieldGoalsMade,avgFieldGoalsPercentage,sdFieldGoalsPercentage,totalThreePointersMade,avgThreePointersMade,sdThreePointersMade,totalThreePointersAttempted,avgThreePointersAttempted,avgThreePointersPercentage,sdThreePointersPercentage,totalFreeThrowsMade,avgFreeThrowsMade,sdFreeThrowsMade,totalFreeThrowsAttempted,avgFreeThrowsAttempted,avgFreeThrowsPercentage,sdFreeThrowsPercentage,totalReboundsOffensive,avgReboundsOffensive,sdReboundsOffensive,totalReboundsDefensive,avgReboundsDefensive,sdReboundsDefensive,totalRebounds,avgRebounds,sdRebounds,totalAssists,avgAssists,sdAssists,totalTurnovers,avgTurnovers,sdTurnovers,totalSteals,avgSteals,sdSteals,totalBlocks,avgBlocks,sdBlocks,totalOpponentBlocks,avgOpponentBlocks,sdOpponentBlocks,totalFouls,avgFouls,sdFouls,totalDrawnFouls,avgDrawnFouls,sdDrawnFouls,totalPoints,avgPoints,sdPoints,avgPlusMinusPoints,totalPlusMinusPoints,totalFieldGoalsPercentage,totalThreePointersPercentage,totalFreeThrowsPercentage,totalMinutesPlayersPlayed
Atlanta Hawks,2010-11,44,38,0.5365853658536586,0.4634146341463415,3946.0,48.1219512195122,6429,78.40243902439025,2971,36.23170731707317,4.552299054182539,0.46337804878048783,0.056488749069654426,502,6.121951219512195,2.3274542013366197,1427,1427,0.3594878048780488,0.12356826912032699,1346,16.414634146341463,6.545097532989901,1728,21.073170731707318,0.7732682926829268,0.1043284283287298,762,9.292682926829269,3.3388391746272976,2460,30.0,4.971523849154907,3222,39.292682926829265,6.03996526209872,1802,21.975609756097562,4.776422572027135,1118,13.634146341463415,3.6294821421650627,497,6.060975609756097,2.235226179488744,341,4.158536585365853,2.252403447157823,348,4.2439024390243905,2.370398599651237,1554,18.951219512195124,3.9780336324431875,1517,18.5,4.116363011742822,7790,95.0,11.177578968852705,-0.8170731707317073,-67,0.46212474723907293,0.35178696566222845,0.7789351851851852,19318
Atlanta Hawks,2011-12,40,26,0.6060606060606061,0.3939393939393939,3233.0,48.984848484848484,5348,81.03030303030303,2429,36.803030303030305,5.054228076098414,0.4546060606060606,0.05276125582802325,492,7.454545454545454,2.7354190689028766,1330,1330,0.3717272727272727,0.11172556286992424,1025,15.530303030303031,6.283604298782904,1385,20.984848484848484,0.7486363636363635,0.10569981243905001,652,9.878787878787879,3.7519847117744596,2066,31.303030303030305,5.36647627396857,2718,41.18181818181818,6.729748174301211,1481,22.439393939393938,4.551005934038652,921,13.954545454545455,3.97852627598101,536,8.121212121212121,3.066017971321467,303,4.590909090909091,2.022772451762281,313,4.742424242424242,2.207055860438419,1178,17.848484848484848,3.6721086972449886,1263,19.136363636363637,5.4090703413841785,6375,96.5909090909091,13.30006046571249,3.4393939393939394,227,0.45418848167539266,0.3699248120300752,0.740072202166065,15808
Atlanta Hawks,2012-13,44,38,0.5365853658536586,0.4634146341463415,3971.0,48.426829268292686,6644,81.02439024390245,3084,37.609756097560975,4.618150176303092,0.46564634146341466,0.05572803712901016,706,8.609756097560975,2.4683482634453586,1901,1901,0.3733170731707317,0.09398632393930624,1158,14.121951219512194,5.236128632808736,1619,19.74390243902439,0.7085121951219512,0.12030211392521348,758,9.24390243902439,3.339109719485033,2593,31.621951219512194,4.569464522488651,3351,40.86585365853659,5.552804196751007,2007,24.475609756097562,4.917154676988971,1219,14.865853658536585,3.470376203045639,664,8.097560975609756,2.9422832995404433,369,4.5,2.5543475405717007,350,4.2682926829268295,2.8286400365704027,1473,17.963414634146343,4.182400285355731,1543,18.817073170731707,3.859021972880247,8032,97.95121951219512,11.856031896110515,0.4024390243902439,33,0.4641782059000602,0.371383482377696,0.7152563310685608,19427
Atlanta Hawks,2013-14,38,44,0.4634146341463415,0.5365853658536586,3966.0,48.36585365853659,6688,81.5609756097561,3061,37.329268292682926,4.9939590124958375,0.45852439024390246,0.054102377942252436,768,9.365853658536585,3.3426248099801885,2116,2116,0.35979268292682925,0.10011336016771717,1392,16.975609756097562,5.7024482716000175,1782,21.73170731707317,0.7829634146341464,0.09784170197306694,713,8.695121951219512,3.192154829277568,2565,31.28048780487805,4.563068033961963,3278,39.97560975609756,5.528770116972073,2041,24.890243902439025,4.714061176871101,1251,15.25609756097561,3.8032181811689725,680,8.292682926829269,3.057021082397606,326,3.975609756097561,2.1771859159236344,354,4.317073170731708,2.2710091778629984,1577,19.23170731707317,4.010168496468603,1643,20.036585365853657,4.281585958471836,8282,101.0,11.953614051360736,-0.47560975609756095,-39,0.4576854066985646,0.3629489603024575,0.7811447811447811,19403
Atlanta Hawks,2014-15,60,22,0.7317073170731707,0.2682926829268293,3946.0,48.1219512195122,6699,81.6951219512195,3121,38.0609756097561,4.462041721049392,0.46718292682926826,0.05759053592705098,818,9.975609756097562,3.063023640316577,2152,2152,0.38014634146341464,0.09843743666444771,1349,16.451219512195124,5.850297953843922,1735,21.158536585365855,0.7765121951219512,0.09547803624393676,715,8.71951219512195,3.3008580636918587,2611,31.841463414634145,4.9527882462533395,3326,40.5609756097561,5.429907033684786,2111,25.74390243902439,5.213493830080772,1167,14.231707317073171,3.560062353760373,744,9.073170731707316,3.204088775934752,380,4.634146341463414,1.9721029392532083,404,4.926829268292683,2.4077061867266796,1457,17.76829268292683,3.7558145225894677,1611,19.646341463414632,4.395204882145693,8409,102.54878048780488,10.582016469865442,5.426829268292683,445,0.4658904314076728,0.38011152416356875,0.777521613832853,19300
Atlanta Hawks,2015-16,48,34,0.5853658536585366,0.4146341463414634,3966.0,48.36585365853659,6923,84.42682926829268,3168,38.63414634146341,4.67858846266811,0.4586219512195122,0.05140174379611592,815,9.939024390243903,2.953748658095377,2326,2326,0.35164634146341467,0.08296323325949642,1282,15.634146341463415,5.82356260042217,1638,19.975609756097562,0.7780121951219512,0.10982741724104235,679,8.28048780487805,3.58072477056887,2772,33.80487804878049,5.022023163189408,3451,42.08536585365854,6.118583753488158,2100,25.609756097560975,4.89584378422456,1226,14.951219512195122,3.3661438502172354,747,9.109756097560975,3.3444484959775225,486,5.926829268292683,2.503234883919418,411,5.012195121951219,2.7599154685526437,1570,19.146341463414632,3.9662836765605807,1500,18.29268292682927,3.4906853297114777,8433,102.84146341463415,11.214485245139869,3.6097560975609757,296,0.4576050845009389,0.35038693035253654,0.7826617826617827,19389
Atlanta Hawks,2016-17,43,39,0.524390243902439,0.47560975609756095,3976.0,48.48780487804878,6918,84.36585365853658,3123,38.08536585365854,5.40735945580204,0.45209756097560977,0.05495061975320814,729,8.890243902439025,2.671320464900632,2137,2137,0.3413414634146341,0.08530341192895433,1484,18.097560975609756,6.349122144234502,2039,24.865853658536587,0.7260609756097561,0.10779465475661662,842,10.268292682926829,3.928524305883967,2793,34.0609756097561,5.247803916879425,3635,44.329268292682926,6.627765908620797,1938,23.634146341463413,5.095415986657537,1294,15.78048780487805,3.852286126585616,672,8.195121951219512,3.1009318567175934,397,4.841463414634147,2.3012047955344315,424,5.170731707317073,2.423164332834343,1491,18.182926829268293,3.5525266570289,1768,21.5609756097561,5.166601101078867,8459,103.15853658536585,12.37327816897338,-0.8536585365853658,-70,0.45143104943625323,0.341132428638278,0.7278077488965179,19449
Atlanta Hawks,2017-18,24,58,0.2926829268292683,0.7073170731707317,3941.0,48.0609756097561,7015,85.54878048780488,3130,38.170731707317074,4.051534926477089,0.44771951219512196,0.0503619674230671,917,11.182926829268293,2.9276377735046992,2544,2544,0.36346341463414633,0.0809789174090364,1298,15.829268292682928,5.83688754801033,1654,20.170731707317074,0.7870975609756098,0.11263648617863165,743,9.060975609756097,3.4937247482710645,2693,32.84146341463415,5.373619862306126,3436,41.90243902439025,6.553878798928988,1946,23.73170731707317,4.54619303628384,1274,15.536585365853659,3.270500856237068,638,7.780487804878049,2.7889747230877306,348,4.2439024390243905,2.0400978892621193,453,5.524390243902439,2.578283522016856,1606,19.585365853658537,4.303174881646051,1661,20.25609756097561,4.115046091606188,8475,103.35365853658537,9.931085939178352,-5.451219512195122,-447,0.44618674269422665,0.3604559748427673,0.7847642079806529,19242
Atlanta Hawks,2018-19,29,53,0.35365853658536583,0.6463414634146342,3971.0,48.426829268292686,7524,91.7560975609756,3392,41.36585365853659,5.412633130964865,0.45178048780487806,0.05259254615314057,1067,13.012195121951219,3.992257637963405,3034,3034,0.3509756097560976,0.08458511318831699,1443,17.597560975609756,5.665271628059229,1918,23.390243902439025,0.7518170731707318,0.0879574992835563,955,11.646341463414634,3.9201031455928192,2825,34.451219512195124,5.436848304126546,3780,46.09756097560975,7.073877795391809,2118,25.829268292682926,4.75265975708724,1397,17.036585365853657,4.293104209296811,675,8.231707317073171,2.9199136655924773,419,5.109756097560975,2.298717288912466,448,5.463414634146342,2.3632741566598416,1932,23.5609756097561,4.931875562836009,1817,22.158536585365855,4.244006702834799,9294,113.34146341463415,13.189239452604957,-6.024390243902439,-494,0.4508240297713982,0.35168094924192483,0.7523461939520334,19415
Atlanta Hawks,2019-20,20,47,0.29850746268656714,0.7014925373134329,3256.0,48.59701492537314,6067,90.55223880597015,2723,40.64179104477612,5.247514541644175,0.4502985074626865,0.0585100392642859,805,12.014925373134329,3.505374822449318,2416,2416,0.33244776119402986,0.0747505515500255,1237,18.46268656716418,5.952662654056471,1566,23.37313432835821,0.7883582089552239,0.11440977674536981,661,9.865671641791044,3.571331652106136,2237,33.38805970149254,5.512946811083547,2898,43.25373134328358,7.129416831057951,1605,23.955223880597014,4.39501382705756,1086,16.208955223880597,3.755954115287688,523,7.8059701492537314,2.9296747465047295,341,5.08955223880597,2.200078120400756,428,6.388059701492537,2.6109050090109944,1548,23.104477611940297,4.6551839086094144,1404,20.955223880597014,4.07294412099582,7488,111.76119402985074,13.83571306902715,-7.970149253731344,-534,0.44882149332454263,0.3331953642384106,0.7899106002554278,15925
