totalMinutesPlayed,avgMinutesPlayed,totalFieldGoalsMade,avgFieldGoalsMade,sdFieldGoalsMade,totalFieldGoalsAttempted,avgFieldGoalsAttempted,avgFieldGoalPercentage,totalThreePointersMade,avgThreePointersMade,sdThreePointersMade,totalThreePointersAttempted,avgThreePointersAttempted,avgThreePointersPercentage,totalFreeThrowsAttempted,avgFreeThrowsAttempted,totalFreeThrowsMade,avgFreeThrowsMade,sdFreeThrowsMade,avgFreeThrowsPercentage,totalReboundsOffensive,avgReboundsOffensive,sdReboundsOffensive,totalReboundsDefensive,avgReboundsDefensive,sdReboundsDefensive,totalRebounds,avgRebounds,sdRebounds,totalAssists,avgAssists,sdAssists,totalSteals,avgSteals,sdSteals,totalBlocks,avgBlocks,sdBlocks,totalTurnovers,avgTurnovers,sdTurnovers,totalFouls,avgFouls,sdFouls,totalPoints,avgPoints,sdPoints,avgPlusMinusPoints,totalPlusMinusPoints,totalFieldGoalsPercentage,totalThreePointersPercentage,totalFreeThrowsPercentage
85,14.166666666666666,9,1.5,2.073644135332772,13,2.1666666666666665,0.375,0,0.0,0.0,0,0.0,0.0,8,1.3333333333333333,3,0.5,0.8366600265340756,0.16666666666666666,3,0.5,0.8366600265340756,18,3.0,2.3664319132398464,21,3.5,2.8809720581775866,2,0.3333333333333333,0.5163977794943223,2,0.3333333333333333,0.5163977794943222,2,0.3333333333333333,0.5163977794943223,5,0.8333333333333334,1.1690451944500122,13,2.1666666666666665,1.1690451944500122,21,3.5,4.969909455915671,0.6666666666666666,4,0.6923076923076923,,0.375
6,3.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,0.5,0.7071067811865476,1,0.5,0.7071067811865476,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.5,0.7071067811865476,0,0.0,0.0,-3.5,-7,,,
3,3.0,0,0.0,,0,0.0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0.0,0,0.0,,0,0.0,,0,0.0,,1,1.0,,0,0.0,,0,0.0,,1,1.0,,0,0.0,,0,0.0,,-3.0,-3,,,
82,11.714285714285714,14,2.0,2.0,26,3.7142857142857144,0.46985714285714286,5,0.7142857142857143,0.7559289460184544,11,1.5714285714285714,0.38099999999999995,5,0.7142857142857143,3,0.42857142857142855,0.7867957924694432,0.19042857142857142,1,0.14285714285714285,0.37796447300922725,4,0.5714285714285714,0.7867957924694432,5,0.7142857142857143,1.1126972805283735,10,1.4285714285714286,1.8126539343499315,4,0.5714285714285714,0.7867957924694432,0,0.0,0.0,5,0.7142857142857143,0.7559289460184545,13,1.8571428571428572,1.864454471471609,36,5.142857142857143,5.047394424471945,-6.571428571428571,-46,0.5384615384615384,0.45454545454545453,0.6
16,2.6666666666666665,8,1.3333333333333333,1.0327955589886444,14,2.3333333333333335,0.6221666666666666,5,0.8333333333333334,0.752772652709081,7,1.1666666666666667,0.6111666666666666,1,0.16666666666666666,0,0.0,0.0,0.0,3,0.5,0.8366600265340756,0,0.0,0.0,3,0.5,0.8366600265340756,9,1.5,1.0488088481701516,3,0.5,0.8366600265340756,1,0.16666666666666666,0.408248290463863,0,0.0,0.0,1,0.16666666666666666,0.408248290463863,21,3.5,2.588435821108957,5.0,30,0.5714285714285714,0.7142857142857143,0.0
13,1.8571428571428572,2,0.2857142857142857,0.7559289460184545,4,0.5714285714285714,0.09528571428571429,0,0.0,0.0,2,0.2857142857142857,0.0,2,0.2857142857142857,1,0.14285714285714285,0.37796447300922725,0.07142857142857142,2,0.2857142857142857,0.7559289460184545,2,0.2857142857142857,0.4879500364742666,4,0.5714285714285714,0.7867957924694432,2,0.2857142857142857,0.4879500364742666,0,0.0,0.0,0,0.0,0.0,2,0.2857142857142857,0.48795003647426666,2,0.2857142857142857,0.48795003647426666,5,0.7142857142857143,1.4960264830861913,-1.0,-7,0.5,0.0,0.5
118,5.9,9,0.45,0.998683343734455,35,1.75,0.14335,5,0.25,0.7163503994113789,25,1.25,0.09664999999999999,6,0.3,5,0.25,0.7863975156570492,0.0875,6,0.3,0.5712405705774795,22,1.1,1.1652874052533586,28,1.4,1.353358395757909,4,0.2,0.5231483637805969,3,0.15,0.3663475485325232,5,0.25,0.7163503994113789,3,0.15,0.36634754853252327,13,0.65,1.0399898784932577,28,1.4,2.7606254058779776,-0.55,-11,0.2571428571428571,0.2,0.8333333333333334
587,32.611111111111114,63,3.5,1.5811388300841898,150,8.333333333333334,0.43183333333333335,23,1.2777777777777777,1.0178151661369075,86,4.777777777777778,0.28144444444444444,39,2.1666666666666665,36,2.0,2.0579830217101063,0.6494444444444444,19,1.0555555555555556,1.2589548523523146,69,3.8333333333333335,2.0073394742060655,88,4.888888888888889,2.4707438481960633,40,2.2222222222222223,1.628985810632441,11,0.6111111111111112,0.8498365855987975,10,0.5555555555555556,0.8555852638929973,24,1.3333333333333333,1.0846522890932808,68,3.7777777777777777,1.262842524557225,185,10.277777777777779,3.8471617583318802,0.7777777777777778,14,0.42,0.26744186046511625,0.9230769230769231
166,15.090909090909092,25,2.272727272727273,1.2720777563426766,49,4.454545454545454,0.5740909090909091,7,0.6363636363636364,0.9244162777371754,21,1.9090909090909092,0.2984545454545455,12,1.0909090909090908,11,1.0,1.0954451150103321,0.5227272727272727,9,0.8181818181818182,0.9816498172140428,26,2.3636363636363638,1.6292775867068985,35,3.1818181818181817,1.2504544628399563,12,1.0909090909090908,0.9438798074485389,6,0.5454545454545454,0.6875516509523286,3,0.2727272727272727,0.4670993664969138,9,0.8181818181818182,1.2504544628399563,8,0.7272727272727273,1.1037127426019047,68,6.181818181818182,4.020402512639296,1.6363636363636365,18,0.5102040816326531,0.3333333333333333,0.9166666666666666
28,2.5454545454545454,5,0.45454545454545453,0.6875516509523287,15,1.3636363636363635,0.16963636363636364,0,0.0,0.0,4,0.36363636363636365,0.0,4,0.36363636363636365,2,0.18181818181818182,0.6030226891555273,0.09090909090909091,1,0.09090909090909091,0.30151134457776363,2,0.18181818181818182,0.4045199174779453,3,0.2727272727272727,0.6466697906828633,3,0.2727272727272727,0.6466697906828632,1,0.09090909090909091,0.30151134457776363,1,0.09090909090909091,0.30151134457776363,2,0.18181818181818182,0.40451991747794525,2,0.18181818181818182,0.40451991747794525,12,1.0909090909090908,1.3751033019046575,-0.9090909090909091,-10,0.3333333333333333,0.0,0.5
